,97.28,205.66,51.28,,,,,,,,,,,,,,,,,
85.34,,,,106.75,,,,,,,169.41,,,,,,,,,
216.58,,,107.85,,,69.19,109.4,,,,,,,,,,,,,
59.84,,92.34,,110.39,105.37,,,,,,,,,,,,,,,
,114.99,,110.39,,,,,,63.85,,106.19,,,,,,,,,
,,,97.41,,,,93.97,130.63,,,,,,,,,,,,
,,69.19,,,,,130.63,,,,,,92.56,,,,,,,
,,109.4,,,93.97,65.7,,101.49,,,,64.58,,113.4,,,,,,
,,,,,107.52,,72.93,,56.71,56.71,,60.31,,,126.62,,,,,
,,,,63.85,,,,56.71,,30.34,43.33,,,,,,,,,
,,,,,,,,56.71,30.34,,42.21,,,,,63.85,,,,
,171.38,,,106.19,,,,,43.33,42.21,,,,,,110.97,,,,205.89
,,,,,,,54.25,63.55,,,,,,68.35,101.93,,,,,
,,,,,,92.56,,,,,,,,69.17,,,79.06,,,
,,,,,,,115.71,,,,,91.41,59.17,,98.7,,194.01,133.45,,
,,,,,,,,128.96,,,,79.9,,66.57,,48.85,,105.85,79.06,
,,,,,,,,,,63.85,111.37,,,,45.85,,,,,88.11
,,,,,,,,,,,,,79.85,179.74,,,,86.7,,
,,,,,,,,,,,,,,133.23,110.85,,86.7,,54.82,
,,,,,,,,,,,,,,,79.06,,,43.93,,145.41
,,,,,,,,,,,212.11,,,,,88.11,,,145.41,